Method Name,Category,Submission Type,RMSE,MAE,ME,R^2,m,Kendall's Tau,ES
ClassicalGSG DB2,Empirical,Standard,"0.55 [0.38, 0.69]","0.44 [0.31, 0.58]","0.05 [-0.20, 0.26]","0.51 [0.18, 0.82]","0.71 [0.36, 1.06]","0.51 [0.18, 0.78]","0.81 [0.62, 1.03] "
TFE MLR,Empirical,Standard,"0.58 [0.34, 0.83]","0.41 [0.26, 0.60]","-0.04 [-0.30, 0.19]","0.43 [0.06, 0.80]","0.60 [0.21, 0.95]","0.56 [0.22, 0.83]","1.38 [1.26, 1.45] "
ClassicalGSG DB4,Empirical,Standard,"0.65 [0.50, 0.78]","0.55 [0.41, 0.69]","0.25 [0.01, 0.50]","0.51 [0.19, 0.76]","0.82 [0.39, 1.22]","0.45 [0.15, 0.71]","0.57 [0.46, 0.85] "
Chemprop,Empirical,Standard,"0.66 [0.39, 0.88]","0.48 [0.30, 0.68]","-0.17 [-0.44, 0.08]","0.41 [0.11, 0.76]","0.69 [0.31, 1.08]","0.54 [0.25, 0.82]","1.03 [0.79, 1.21] "
TFE-SM8-vacuum-opt,Physical (QM),Standard,"0.67 [0.45, 0.86]","0.51 [0.33, 0.69]","0.15 [-0.13, 0.42]","0.45 [0.11, 0.75]","0.80 [0.33, 1.23]","0.50 [0.18, 0.76]","0.99 [0.75, 1.20] "
GROVER,Empirical,Standard,"0.69 [0.41, 0.96]","0.49 [0.31, 0.71]","-0.21 [-0.50, 0.05]","0.33 [0.04, 0.70]","0.56 [0.18, 0.92]","0.37 [0.05, 0.66]","0.87 [0.62, 1.09] "
ClassicalGSG DB1,Empirical,Standard,"0.76 [0.56, 0.96]","0.62 [0.45, 0.82]","0.10 [-0.23, 0.40]","0.28 [0.06, 0.60]","0.61 [0.26, 0.99]","0.36 [0.04, 0.63]","0.63 [0.43, 0.85] "
ffsampled_deeplearning_cl1,Empirical,Standard,"0.77 [0.44, 1.04]","0.51 [0.29, 0.77]","-0.25 [-0.58, 0.04]","0.31 [0.05, 0.70]","0.63 [0.24, 1.05]","0.42 [0.06, 0.74]","0.99 [0.72, 1.19] "
ClassicalGSG DB3,Empirical,Standard,"0.77 [0.57, 0.96]","0.62 [0.43, 0.82]","-0.15 [-0.46, 0.16]","0.51 [0.18, 0.78]","1.08 [0.55, 1.59]","0.48 [0.15, 0.75]","0.60 [0.42, 0.89] "
COSMO-RS,Physical (QM),Standard,"0.78 [0.49, 1.01]","0.57 [0.36, 0.80]","-0.30 [-0.61, -0.01]","0.49 [0.17, 0.79]","0.97 [0.49, 1.45]","0.53 [0.25, 0.78]","0.97 [0.74, 1.18] "
